,station,sensor_type,value,data_flag,units,date,month,year,name,Latitude,Longitude,River_Basin,HR_NAME,capacity
237,HVS,STORAGE,536200, ,AF,2004-04-01,4.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
238,HVS,STORAGE,558200, ,AF,2004-05-01,5.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
239,HVS,STORAGE,582800, ,AF,2004-06-01,6.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
240,HVS,STORAGE,583100, ,AF,2004-07-01,7.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
241,HVS,STORAGE,594900, ,AF,2004-08-01,8.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
242,HVS,STORAGE,574300, ,AF,2004-09-01,9.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
243,HVS,STORAGE,589100, ,AF,2004-10-01,10.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
244,HVS,STORAGE,611400, ,AF,2004-11-01,11.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
245,HVS,STORAGE,575800, ,AF,2004-12-01,12.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
246,HVS,STORAGE,560400, ,AF,2005-01-01,1.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
247,HVS,STORAGE,558500, ,AF,2005-02-01,2.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
248,HVS,STORAGE,613400, ,AF,2005-03-01,3.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
249,HVS,STORAGE,551000, ,AF,2005-04-01,4.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
250,HVS,STORAGE,585800, ,AF,2005-05-01,5.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
251,HVS,STORAGE,586000, ,AF,2005-06-01,6.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
252,HVS,STORAGE,581600, ,AF,2005-07-01,7.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
253,HVS,STORAGE,576400, ,AF,2005-08-01,8.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
254,HVS,STORAGE,569400, ,AF,2005-09-01,9.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
255,HVS,STORAGE,554300, ,AF,2005-10-01,10.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
256,HVS,STORAGE,569800, ,AF,2005-11-01,11.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
257,HVS,STORAGE,582300, ,AF,2005-12-01,12.0,2005.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
258,HVS,STORAGE,579400, ,AF,2006-01-01,1.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
259,HVS,STORAGE,561900, ,AF,2006-02-01,2.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
260,HVS,STORAGE,546700, ,AF,2006-03-01,3.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
261,HVS,STORAGE,563900, ,AF,2006-04-01,4.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
262,HVS,STORAGE,558000, ,AF,2006-05-01,5.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
263,HVS,STORAGE,562200, ,AF,2006-06-01,6.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
264,HVS,STORAGE,575800, ,AF,2006-07-01,7.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
265,HVS,STORAGE,584300, ,AF,2006-08-01,8.0,2006.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
