,date,reservoir_storage,res_percentile,total_storage,capacity,reporting,value_period,month,day,export_basin,SWDI,SWC,snow_pctl
168,2005-01-31,16563685.0,0.3666666666666667,24444206.08165687,29776839.0,1.0,24444206.08165687,1,31,delta_basin,0.7666666666666667,7871773.882310929,0.9333333333333335
169,2005-02-28,19578059.0,0.43333333333333335,29182607.117277868,29776839.0,1.0,29182607.117277868,2,28,delta_basin,0.7666666666666667,9594209.042073313,0.8666666666666667
170,2005-03-31,20978618.0,0.6333333333333334,31782098.98529931,29776839.0,1.0,31782098.98529931,3,31,delta_basin,0.6666666666666667,10792402.281879848,0.8
171,2005-04-30,23293148.0,0.5666666666666668,35212005.00739807,29776839.0,1.0,35212005.00739807,4,30,delta_basin,0.8,11906556.012242071,0.7666666666666667
172,2005-05-31,24300150.0,0.6,31969355.164222762,29776839.0,1.0,31969355.164222762,5,31,delta_basin,0.8333333333333335,7656372.376338526,0.8666666666666667
173,2005-06-30,27054520.0,0.9333333333333335,28323314.246524755,29776839.0,1.0,28323314.246524755,6,30,delta_basin,0.8333333333333335,1254506.8895961049,0.5
174,2005-07-31,27095851.0,0.8333333333333335,27111736.82167372,29776839.0,1.0,27111736.82167372,7,31,delta_basin,0.8333333333333335,1576.638050336138,0.5
175,2005-08-31,25010392.0,0.8,25023931.385328565,29776839.0,1.0,25023931.385328565,8,31,delta_basin,0.8,331.5221903685754,0.5
176,2005-09-30,22709141.0,0.8,22721133.58397525,29776839.0,1.0,22721133.58397525,9,30,delta_basin,0.8,,0.5
177,2005-10-31,21564512.0,0.8666666666666667,21578883.191993564,29776839.0,1.0,21578883.191993564,10,31,delta_basin,0.8666666666666667,2983.080878075689,0.5
178,2005-11-30,20808708.0,0.8666666666666667,20949120.672407765,29776839.0,1.0,20949120.672407765,11,30,delta_basin,0.8666666666666667,129423.69761093933,0.23333333333333336
179,2005-12-31,20754527.0,0.8333333333333335,22269024.114746504,29776839.0,1.0,22269024.114746504,12,31,delta_basin,0.9,1503536.7526652543,0.5
